,accuracy,accuracies,permutation_specific_accuracies,best_ordering,sigma
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[56.730769230769226, 74.03846153846155, 73.07692307692307, 74.03846153846155, 72.11538461538461, 72.11538461538461, 75.0, 75.0, 75.0]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[80.76923076923077, 71.15384615384616, 73.07692307692307, 74.03846153846155, 72.11538461538461, 72.11538461538461, 75.0, 75.0, 75.0]",,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[58.65384615384615, 75.96153846153845, 73.07692307692307, 74.03846153846155, 72.11538461538461, 72.11538461538461, 75.0, 75.0, 75.0]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[61.53846153846154, 75.96153846153845, 81.73076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[76.92307692307693, 72.11538461538461, 81.73076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[57.692307692307686, 73.07692307692307, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[75.0, 64.42307692307693, 82.6923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[80.76923076923077, 75.0, 81.73076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[75.0, 73.07692307692307, 81.73076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923, 81.73076923076923, 82.6923076923077]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[58.65384615384615, 69.23076923076923, 86.53846153846155, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[80.76923076923077, 80.76923076923077, 86.53846153846155, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[61.53846153846154, 70.1923076923077, 85.57692307692307, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[60.57692307692307, 60.57692307692307, 85.57692307692307, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[81.73076923076923, 76.92307692307693, 84.61538461538461, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[57.692307692307686, 66.34615384615384, 84.61538461538461, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[62.5, 75.0, 82.6923076923077, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[76.92307692307693, 75.96153846153845, 82.6923076923077, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[60.57692307692307, 68.26923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[59.61538461538461, 60.57692307692307, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[75.0, 71.15384615384616, 83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[61.53846153846154, 72.11538461538461, 83.65384615384616, 83.65384615384616, 82.6923076923077, 83.65384615384616, 83.65384615384616, 83.65384615384616, 83.65384615384616]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[82.6923076923077, 81.73076923076923, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[76.92307692307693, 81.73076923076923, 83.65384615384616, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,,"[81.73076923076923, 78.84615384615384, 84.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[57.692307692307686, 79.8076923076923, 84.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[75.0, 76.92307692307693, 84.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]",,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[60.57692307692307, 78.84615384615384, 84.61538461538461, 82.6923076923077, 82.6923076923077, 83.65384615384616, 83.65384615384616, 84.61538461538461, 84.61538461538461]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[66.34615384615384, 79.8076923076923, 75.0, 75.96153846153845, 78.84615384615384, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[78.84615384615384, 74.03846153846155, 73.07692307692307, 75.96153846153845, 78.84615384615384, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[62.5, 80.76923076923077, 75.0, 76.92307692307693, 79.8076923076923, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[76.92307692307693, 81.73076923076923, 75.0, 76.92307692307693, 79.8076923076923, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[80.76923076923077, 74.03846153846155, 72.11538461538461, 75.96153846153845, 78.84615384615384, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,,"[77.88461538461539, 75.96153846153845, 72.11538461538461, 75.96153846153845, 78.84615384615384, 81.73076923076923, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[60.57692307692307, 79.8076923076923, 83.65384615384616, 80.76923076923077, 79.8076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,,"[79.8076923076923, 78.84615384615384, 82.6923076923077, 80.76923076923077, 79.8076923076923, 80.76923076923077, 80.76923076923077, 81.73076923076923, 81.73076923076923]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'})",,,"[59.61538461538461, 72.11538461538461, 83.65384615384616, 80.76923076923077, 79.8076923076923, 80.76923076923077, 80.76923076923077, 80.76923076923077, 80.76923076923077]",,
"({'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'SVC(probability=True, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,,"[59.61538461538461, 68.26923076923077, 83.65384615384616, 80.76923076923077, 79.8076923076923, 80.76923076923077, 80.76923076923077, 80.76923076923077, 80.76923076923077]",,
