,accuracy,permutation_specific_accuracies,accuracies,best_ordering,sigma
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 61.43790849673203, 69.28104575163398, 68.62745098039215, 68.62745098039215, 68.95424836601308, 68.62745098039215, 66.66666666666666, 68.30065359477125]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 65.68627450980392, 68.30065359477125, 67.3202614379085, 67.64705882352942, 67.97385620915033, 67.64705882352942, 66.66666666666666, 67.97385620915033]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.307189542483655, 60.78431372549019, 68.62745098039215, 67.97385620915033, 67.97385620915033, 68.30065359477125, 67.64705882352942, 66.66666666666666, 67.97385620915033]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 65.359477124183, 62.091503267973856, 61.76470588235294, 60.45751633986928, 61.111111111111114, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 60.130718954248366, 62.091503267973856, 61.76470588235294, 60.45751633986928, 61.111111111111114, 61.43790849673203, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 66.99346405228758, 63.0718954248366, 62.41830065359477, 61.76470588235294, 62.091503267973856, 62.091503267973856, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 58.16993464052288, 63.39869281045751, 62.745098039215684, 61.76470588235294, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 57.84313725490197, 62.41830065359477, 62.091503267973856, 61.111111111111114, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 57.51633986928104, 62.41830065359477, 62.091503267973856, 61.111111111111114, 61.76470588235294, 61.76470588235294, 61.76470588235294, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 63.0718954248366, 61.76470588235294, 61.76470588235294, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.41830065359477, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.0326797385621, 55.88235294117647, 61.76470588235294, 61.76470588235294, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.41830065359477, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 65.68627450980392, 66.01307189542483, 65.359477124183, 65.0326797385621, 63.725490196078425, 63.39869281045751, 63.0718954248366, 62.091503267973856]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 60.78431372549019, 66.99346405228758, 66.01307189542483, 65.68627450980392, 64.70588235294117, 63.725490196078425, 63.39869281045751, 62.091503267973856]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 56.5359477124183, 63.0718954248366, 62.745098039215684, 63.725490196078425, 63.725490196078425, 63.39869281045751, 63.39869281045751, 61.76470588235294]",,,
"({'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 58.16993464052288, 63.0718954248366, 62.745098039215684, 63.725490196078425, 63.725490196078425, 63.39869281045751, 63.39869281045751, 61.76470588235294]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[61.43790849673203, 61.76470588235294, 73.8562091503268, 74.83660130718954, 74.18300653594771, 74.83660130718954, 74.83660130718954, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.82352941176471, 61.76470588235294, 74.18300653594771, 74.83660130718954, 74.50980392156863, 75.16339869281046, 74.83660130718954, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[61.76470588235294, 61.43790849673203, 74.18300653594771, 74.83660130718954, 74.50980392156863, 74.50980392156863, 75.16339869281046, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 59.150326797385624, 73.52941176470588, 75.16339869281046, 74.50980392156863, 74.50980392156863, 75.16339869281046, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.47712418300654, 62.745098039215684, 75.16339869281046, 75.49019607843137, 75.49019607843137, 76.1437908496732, 75.49019607843137, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.45751633986928, 62.745098039215684, 74.18300653594771, 75.49019607843137, 75.81699346405229, 76.47058823529412, 75.49019607843137, 74.83660130718954, 74.18300653594771]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.091503267973856, 60.78431372549019, 74.83660130718954, 74.83660130718954, 75.49019607843137, 75.49019607843137, 74.83660130718954, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[59.80392156862745, 57.51633986928104, 74.83660130718954, 74.83660130718954, 75.81699346405229, 75.81699346405229, 74.83660130718954, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 64.05228758169935, 75.16339869281046, 74.83660130718954, 75.16339869281046, 75.49019607843137, 74.50980392156863, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 57.18954248366013, 75.16339869281046, 74.83660130718954, 75.16339869281046, 75.49019607843137, 74.50980392156863, 74.18300653594771, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[60.130718954248366, 62.745098039215684, 75.81699346405229, 75.49019607843137, 75.16339869281046, 74.83660130718954, 73.8562091503268, 73.8562091503268, 73.8562091503268]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 58.16993464052288, 75.16339869281046, 74.83660130718954, 74.83660130718954, 74.50980392156863, 73.52941176470588, 73.52941176470588, 73.52941176470588]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.41830065359477, 65.0326797385621, 75.81699346405229, 76.1437908496732, 77.12418300653596, 77.12418300653596, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 63.0718954248366, 75.81699346405229, 76.1437908496732, 77.12418300653596, 77.12418300653596, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 61.43790849673203, 74.83660130718954, 75.49019607843137, 76.47058823529412, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 56.86274509803921, 74.83660130718954, 75.49019607843137, 76.47058823529412, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 62.745098039215684, 74.83660130718954, 75.49019607843137, 76.1437908496732, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.9607843137255, 55.88235294117647, 74.50980392156863, 75.49019607843137, 76.1437908496732, 76.47058823529412, 75.49019607843137, 77.12418300653596, 77.12418300653596]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[58.16993464052288, 62.091503267973856, 76.1437908496732, 75.49019607843137, 76.79738562091504, 77.12418300653596, 76.1437908496732, 76.47058823529412, 76.1437908496732]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 61.111111111111114, 75.16339869281046, 75.49019607843137, 76.79738562091504, 77.12418300653596, 76.1437908496732, 76.47058823529412, 76.1437908496732]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'})",,"[57.84313725490197, 60.45751633986928, 75.16339869281046, 76.1437908496732, 77.12418300653596, 76.47058823529412, 75.81699346405229, 75.81699346405229, 76.1437908496732]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[52.28758169934641, 59.47712418300654, 75.49019607843137, 75.81699346405229, 76.79738562091504, 76.1437908496732, 75.49019607843137, 75.49019607843137, 75.81699346405229]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.45751633986928, 60.130718954248366, 76.1437908496732, 75.16339869281046, 76.79738562091504, 77.45098039215686, 76.1437908496732, 76.1437908496732, 75.81699346405229]",,,
"({'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 57.84313725490197, 75.49019607843137, 75.16339869281046, 76.79738562091504, 77.45098039215686, 76.1437908496732, 76.1437908496732, 75.81699346405229]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.41830065359477, 70.26143790849673, 60.130718954248366, 58.82352941176471, 59.150326797385624, 61.111111111111114, 60.130718954248366, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[64.70588235294117, 63.0718954248366, 59.150326797385624, 57.84313725490197, 58.16993464052288, 60.45751633986928, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 65.359477124183, 58.82352941176471, 58.82352941176471, 58.82352941176471, 60.78431372549019, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 63.725490196078425, 58.82352941176471, 58.82352941176471, 58.82352941176471, 60.78431372549019, 59.80392156862745, 59.80392156862745, 60.130718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[64.70588235294117, 62.41830065359477, 60.130718954248366, 58.16993464052288, 58.16993464052288, 60.78431372549019, 59.47712418300654, 59.150326797385624, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[59.80392156862745, 66.66666666666666, 60.130718954248366, 58.16993464052288, 58.16993464052288, 60.78431372549019, 59.47712418300654, 59.150326797385624, 59.47712418300654]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[63.0718954248366, 64.37908496732027, 59.80392156862745, 60.78431372549019, 61.43790849673203, 63.0718954248366, 62.745098039215684, 62.745098039215684, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[66.01307189542483, 57.84313725490197, 59.47712418300654, 60.45751633986928, 61.111111111111114, 62.745098039215684, 62.41830065359477, 62.745098039215684, 62.745098039215684]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.745098039215684, 68.62745098039215, 64.05228758169935, 64.37908496732027, 64.05228758169935, 64.37908496732027, 64.05228758169935, 63.725490196078425, 63.725490196078425]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 61.111111111111114, 63.39869281045751, 63.725490196078425, 63.725490196078425, 64.05228758169935, 64.05228758169935, 63.725490196078425, 63.725490196078425]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'})",,"[65.359477124183, 55.88235294117647, 60.130718954248366, 61.111111111111114, 61.111111111111114, 62.091503267973856, 62.091503267973856, 63.0718954248366, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'})",,"[51.633986928104584, 58.82352941176471, 60.78431372549019, 61.111111111111114, 61.111111111111114, 62.091503267973856, 62.091503267973856, 63.0718954248366, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'})",,"[62.41830065359477, 66.01307189542483, 64.05228758169935, 62.091503267973856, 62.745098039215684, 64.05228758169935, 63.0718954248366, 62.091503267973856, 63.0718954248366]",,,
"({'type': 'BOS', 'name': 'GradientBoostingClassifier(random_state=100)'}, {'type': 'NLP', 'name': 'NLP_Classifier()'}, {'type': 'TSC', 'name': 'TSC_1NN(metric = distance.euclidean)'}, {'type': 'BOS', 'name': 'RandomForestClassifier(1000, random_state=100)'}, {'type': 'BOS', 'name': 'KNeighborsClassifier()'})",,"[60.130718954248366, 64.37908496732027, 64.37908496732027, 62.091503267973856, 62.745098039215684, 64.05228758169935, 63.0718954248366, 62.091503267973856, 63.0718954248366]",,,
